,"GNI per capita, Atlas method (current US$)",GDP (constant 2010 US$),GDP per capita (constant 2010 US$),GDP (current US$),GDP per capita (current US$),GNI (current US$),"GNI per capita, PPP (current international $)","GDP, PPP (current international $)","GDP, PPP (constant 2011 international $)","GDP per capita, PPP (current international $)","GDP per capita, PPP (constant 2011 international $)","GNI, PPP (current international $)",Personal computers (per 100 people),Internet users (per 100 people),"Repeaters in Grade 4 of lower secondary general education, both sexes (number)","Repeaters in Grade 3 of lower secondary general education, both sexes (number)","Repeaters in Grade 2 of lower secondary general education, both sexes (number)","Repeaters in Grade 1 of lower secondary general education, both sexes (number)","Repeaters in lower secondary general education, all grades, both sexes (number)","Enrolment in upper secondary education, public institutions, both sexes (number)","Enrolment in upper secondary education, private institutions, both sexes (number)","Enrolment in upper secondary education, both sexes (number)","Enrolment in secondary education, public institutions, both sexes (number)","Enrolment in secondary education, private institutions, both sexes (number)","Enrolment in lower secondary education, public institutions, both sexes (number)","Enrolment in lower secondary general education, Grade unspecified, both sexes (number)","Repeaters in Grade 5 of lower secondary general education, both sexes (number)","Enrolment in secondary education, both sexes (number)","Enrolment in lower secondary education, both sexes (number)","Enrolment in Grade 1 of lower secondary general education, both sexes (number)","Enrolment in lower secondary education, private institutions, both sexes (number)","Repeaters in Grade 6 of lower secondary general education, both sexes (number)","Enrolment in Grade 6 of lower secondary general education, both sexes (number)","Enrolment in Grade 5 of lower secondary general education, both sexes (number)","Enrolment in Grade 3 of lower secondary general education, both sexes (number)","Enrolment in Grade 4 of lower secondary general education, both sexes (number)","Enrolment in Grade 2 of lower secondary general education, both sexes (number)","Enrolment in post-secondary non-tertiary education, both sexes (number)","Enrolment in tertiary education, all programmes, both sexes (number)","Graduates from tertiary education, both sexes (number)","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","Graduates from ISCED 7 programmes in tertiary education, both sexes (number)","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)","Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)","Enrolment in tertiary education, ISCED 5 programmes, both sexes (number)","Enrolment in post-secondary non-tertiary education, public institutions, both sexes (number)","Graduates from ISCED 6 programmes in tertiary education, both sexes (number)","Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)"
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,YR2011,,,,,,,,,,,YR2011,YR2011,,YR2013,,YR2013,YR2013,,,YR2013,
AFG,,,,,,,,,,,,,,,,,,,,YR2014,YR2014,YR2003,,YR2014,,,,YR1995,,YR2003,,,,YR1989,YR2003,,YR2003,,YR1990,YR2009,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,YR2003,,,,YR2006,,,,,,YR1992,YR2002,YR2010,,,,,YR2010,,YR2010,,YR1998,YR2010,,,,,,,,,
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,YR1997,,,,,,,,,,,YR1997,YR2011,,YR2014,,YR2014,YR2014,,,YR2014,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,YR1983,,,,,,,,,,,YR2008,YR2008,,YR2014,,YR2014,YR2014,,,YR2014,
ARB,,,,,,,,,,,,,,,,,,,YR2014,,,YR2013,,YR2014,,,,YR2013,YR2014,,,,,,,,,YR1999,YR2014,,,,,YR2014,YR2011,YR2014,,,YR2014
ARE,,,,,,,,,,,,,,YR2011,YR2011,YR2011,YR2011,YR2011,YR2011,YR2012,YR2009,YR2010,,YR2009,YR2009,,,YR1998,,,YR2009,,,,,,,,YR1993,YR2011,,YR2014,,YR2014,YR2014,,,YR2014,
ARG,YR2015,,,,,,,,,,,,,YR2011,,,,,,,,,,,,,,YR1997,,,,,,,,,,,YR1994,YR2010,,YR2013,,YR2013,YR2013,,,YR2013,YR2000
ARM,,,,,,,,,,,,,,YR2013,,,,,,,,,,,,,,YR1997,,,,,,,,,,,YR1997,YR2011,,YR2014,,YR2014,YR2014,,,YR2014,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,YR1992,,,,,,,,,,,YR1989,YR2007,,,,,,,,,
ATG,,,,,,,,,,,,,,YR2011,,YR2010,,,YR2010,,,,,,,,,YR1992,,,,,,,,,,YR2010,YR2010,YR2011,,,,,,YR2011,,,
AUS,,,,,,,,,,,,,,YR2009,,,,,,,,,,,,,,YR1998,,YR2003,,,,,YR2003,YR1995,YR2003,,YR1998,YR2009,,,,YR2013,YR2013,,,,
AUT,,,,,,,,,,,,,,YR2014,,,,,,,,,,,,,,YR1997,,,,,,,,,,,YR1997,YR2010,,YR2013,,YR2014,YR2014,,,YR2013,
