Country Code,Indicator Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ARB,"Enrolment in secondary education, both sexes (number)",4842861.5,4981843.5,5270417.5,5593058.5,5938865.5,6437610.0,7009705.0,7597532.5,8249294.0,8857473.0,9430057.0,10042644.0,10715285.0,11300280.0,11953550.0,12685324.0,13553009.0,14206042.0,14675672.0,14981230.0,16346889.0,16488591.0,16537461.0,17200858.0,18375274.0,18890898.0,19402472.0,20383632.0,21434096.0,22401506.0,23327780.0,24269890.0,25103926.0,26749102.0,27787388.0,28104998.0,28306528.0,28494384.0,28935106.0,29572506.0,30134376.0,31299786.0,31811146.0,31250596.0,30972246.0,,
ARB,"Enrolment in tertiary education, all programmes, both sexes (number)",706416.125,733981.25,794759.0,871347.3125,957383.125,1066646.75,1197475.875,1333201.625,1440257.75,1487790.5,1588082.25,1729881.25,1847537.875,1933624.875,2040195.0,2094487.875,2210149.5,2278929.0,2346838.25,2337249.75,2406849.75,2391953.25,2568057.0,2817956.5,3019343.25,3294607.75,3628683.25,4001958.5,4365277.5,4875952.5,5089853.5,5400639.0,5798696.5,5955514.0,6465715.0,6899156.0,7214648.0,7588664.0,8006891.5,8382284.5,8715273.0,8594488.0,9147083.0,9688632.0,9966484.0,,
ARB,Internet users (per 100 people),,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0170250493795539,0.03776068842589799,0.131045576745723,0.261615115137055,0.5985821496242211,1.13954112251628,1.5612881698882,2.69306101334257,3.64588078277356,7.006812460960631,8.39314172532196,11.654647914905802,14.2059022369738,18.5935311754275,22.973688644708098,26.7472508954194,29.7077613854283,34.0142239578168,36.8686015566291,,,
EAS,"Enrolment in secondary education, both sexes (number)",43519952.0,50267036.0,56118968.0,61798564.0,61542244.0,64871984.0,74637480.0,89628480.0,100520888.0,100220912.0,95517328.0,93510272.0,88160352.0,86811872.0,87692984.0,91799824.0,95798192.0,100146936.0,101565032.0,100268608.0,97402224.0,98034544.0,99676072.0,101672904.0,103708536.0,109226888.0,116063120.0,122301136.0,127378936.0,132551240.0,137120400.0,142236000.0,147389600.0,153615632.0,158087248.0,159636672.0,160846640.0,163689008.0,163093056.0,163384176.0,162608224.0,161644832.0,159734416.0,159612656.0,154212112.0,,
EAS,"Enrolment in tertiary education, all programmes, both sexes (number)",3862325.5,3911795.25,4168510.5,4352076.0,4722968.5,5096384.5,5460098.5,5773247.5,6311743.5,6947732.5,7509697.0,8332937.0,9326290.0,10018141.0,10923159.0,11798598.0,12593696.0,13292258.0,13516749.0,14014792.0,14327806.0,14732216.0,14971501.0,16246575.0,17877094.0,19177278.0,20204894.0,21509016.0,22258766.0,23673498.0,25257460.0,27801408.0,31201856.0,34750952.0,38188188.0,41180440.0,44216108.0,46898368.0,49295048.0,52677596.0,55233632.0,56584732.0,58874208.0,60916176.0,69097800.0,,
EAS,Internet users (per 100 people),,,,,,,,,,,,,,,,,,,,,0.007288276366132379,,,0.0792779216331958,0.11738210036914501,0.20957789757662698,0.464733740528927,1.0798503563912198,1.8827873526446999,3.40640827418481,5.59267987619975,7.25216610885268,8.99358781820125,10.547243645707901,12.596964208773699,14.6663590411098,16.6178275669865,20.7665234457067,25.2535662134479,29.513197608660803,34.2308383100865,37.365155967458,40.709345490799606,44.577349432458604,46.812103208352006,49.7879236470475,52.7963207892303
EAP,"Enrolment in secondary education, both sexes (number)",30872386.0,37713208.0,43312420.0,48635540.0,48004968.0,50954704.0,60280160.0,74841216.0,85335296.0,84639456.0,79588488.0,76978440.0,71264984.0,69521736.0,69892496.0,73452392.0,76832976.0,80840880.0,82262200.0,81050920.0,78486464.0,79374600.0,81472360.0,83829144.0,85791080.0,91366168.0,98302232.0,104719408.0,110299248.0,115799768.0,120642552.0,126189616.0,131608176.0,138026560.0,142747680.0,144349440.0,145932640.0,148793600.0,148208032.0,148467680.0,147759424.0,146866768.0,144989232.0,144990816.0,139756448.0,,
EAP,"Enrolment in tertiary education, all programmes, both sexes (number)",1537261.0,1608607.25,1704481.125,1800722.375,2030301.75,2256922.5,2458110.25,2679451.5,3023586.25,3597097.25,4058968.75,4762823.5,5569948.5,6048779.0,6736049.5,7459928.5,8169470.0,8736535.0,8787977.0,9151404.0,9271115.0,9445797.0,9445622.0,9684079.0,10801831.0,11871823.0,12633601.0,13641684.0,14489295.0,15736884.0,17104038.0,19489290.0,22648246.0,26147178.0,29489594.0,32467124.0,35446044.0,38087292.0,40322692.0,43633464.0,46071632.0,47217144.0,49461576.0,51471764.0,59809028.0,,
EAP,Internet users (per 100 people),,,,,,,,,,,,,,,,,,,,,0.0,,,0.00116240390457773,0.0040327946209939205,0.013044957073088002,0.0337092235897055,0.0942622163556517,0.32417675120237605,0.8533515967717091,1.89711573714638,2.7790903207406803,4.40499029956146,5.762101638384861,6.8852653928599405,8.31914345113675,10.173972404693698,14.3826941837589,19.260137883981198,23.7692424795223,28.9575716226662,32.385761192165,36.0683494482816,39.7089333070242,42.062233673822796,45.210102630003206,48.3866206866568
EMU,"Enrolment in secondary education, both sexes (number)",25840982.0,26196552.0,27031316.0,28144684.0,29213564.0,29875074.0,30651230.0,31449060.0,31937894.0,32334884.0,32561542.0,32595782.0,32447536.0,32244582.0,31901394.0,31609962.0,31695674.0,31377862.0,30832224.0,30357282.0,29866144.0,29757708.0,29961928.0,30709324.0,31528298.0,31433236.0,30751728.0,30406952.0,29406296.0,29283976.0,29301202.0,29430832.0,29486260.0,29425644.0,28677002.0,28862584.0,28685348.0,28328784.0,28182680.0,27921340.0,27990412.0,27887924.0,27713732.0,28224992.0,28055416.0,,
