Country Code,Table Name,Region,Secondaire,Tertiaire,Secondaire et Tertiaire,Usage Internet,CrossResult
ABW,Aruba,Latin America & Caribbean,8377.0,1166.0,9543.0,93.54245387,8926.756372814101
AFG,Afghanistan,South Asia,2698816.0,262874.0,2961690.0,10.59572642,313812.56980849797
AGO,Angola,Sub-Saharan Africa,884982.0,221037.0,1106019.0,13.0,143782.47
ALB,Albania,Europe & Central Asia,315079.0,160527.0,475606.0,66.3634447,315628.524799882
AND,Andorra,Europe & Central Asia,4395.0,501.0,4896.0,97.93063712,4794.683993395201
ARE,United Arab Emirates,Middle East & North Africa,190576.0,156613.0,347189.0,90.60000732,314553.2594142348
ARG,Argentina,Latin America & Caribbean,4450741.0,2869450.0,7320191.0,70.15076431,5135169.935451832
ARM,Armenia,Europe & Central Asia,240291.0,107665.0,347956.0,62.0,215732.72
ASM,American Samoa,East Asia & Pacific,3643.0,1607.0,5250.0,0.0,0.0
ATG,Antigua and Barbuda,Latin America & Caribbean,8048.0,1792.0,9840.0,73.0,7183.2
AUS,Australia,East Asia & Pacific,2371284.0,1453521.0,3824805.0,88.23865805,3374956.605029302
AUT,Austria,Europe & Central Asia,691071.25,425971.6875,1117042.9375,84.32333129,941927.8168396726
AZE,Azerbaijan,Europe & Central Asia,819625.0,204152.0,1023777.0,78.2,800593.6140000001
BDI,Burundi,Sub-Saharan Africa,664243.0,51225.0,715468.0,5.173626777,37015.64402886636
BEL,Belgium,Europe & Central Asia,1217912.0,504745.0,1722657.0,86.5165,1490382.543405
BEN,Benin,Sub-Saharan Africa,963787.0,145464.0,1109251.0,11.99404791,133044.09638215412
BFA,Burkina Faso,Sub-Saharan Africa,965550.0,94728.0,1060278.0,13.96,148014.8088
BGD,Bangladesh,South Asia,14566771.0,2068355.0,16635126.0,18.246938,3035401.1274418803
BGR,Bulgaria,Europe & Central Asia,501398.0,278953.0,780351.0,59.82554766,466849.2594202866
BHR,Bahrain,Middle East & North Africa,92454.0,38901.0,131355.0,97.99998070000001,128727.87464848501
BHS,"Bahamas, The",Latin America & Caribbean,34406.0,3960.0,38366.0,80.0,30692.8
BIH,Bosnia and Herzegovina,Europe & Central Asia,278071.0,108475.0,386546.0,69.33100561,267996.2289452306
BLR,Belarus,Europe & Central Asia,644153.0,477221.0,1121374.0,71.11304576,797443.2057607424
BLZ,Belize,Latin America & Caribbean,37856.0,8562.0,46418.0,44.57574032,20691.167141737602
BMU,Bermuda,North America,4040.0,973.0,5013.0,98.0,4912.74
BOL,Bolivia,Latin America & Caribbean,1153379.0,352554.0,1505933.0,39.6975146,597817.9725412179
BRA,Brazil,Latin America & Caribbean,23501784.0,8285475.0,31787259.0,59.68274736,18971509.481638864
BRB,Barbados,Latin America & Caribbean,20603.0,12421.0,33024.0,79.54939789,26270.393159193598
BRN,Brunei Darussalam,East Asia & Pacific,47249.0,10866.0,58115.0,75.0,43586.25
BTN,Bhutan,South Asia,74227.0,8543.0,82770.0,41.77264453,34575.217877481
BWA,Botswana,Sub-Saharan Africa,168220.0,51573.0,219793.0,39.36299738,86517.11283142341
CAF,Central African Republic,Sub-Saharan Africa,125907.0,12522.0,138429.0,4.0,5537.16
CAN,Canada,North America,2697507.0,1212161.0,3909668.0,89.84,3512445.7312000003
CHE,Switzerland,Europe & Central Asia,614470.0,294450.0,908920.0,89.4055681,812625.08957452
CHL,Chile,Latin America & Caribbean,1546323.0,1221774.0,2768097.0,66.01,1827220.8297000004
CHN,China,East Asia & Pacific,86127200.0,43367392.0,129494592.0,53.2,68891122.944
CIV,Côte d'Ivoire,Sub-Saharan Africa,1587348.0,192689.0,1780037.0,26.52722561,472194.4309314757
CMR,Cameroon,Sub-Saharan Africa,2108279.0,389974.0,2498253.0,25.0,624563.25
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,4388456.0,442979.0,4831435.0,6.20997406,300030.860225761
COG,"Congo, Rep.",Sub-Saharan Africa,339250.0,37037.0,376287.0,8.121949322999999,30561.839449037005
COL,Colombia,Latin America & Caribbean,4793963.0,2293550.0,7087513.0,58.13649357,4120431.539517914
COM,Comoros,Sub-Saharan Africa,70234.0,6499.0,76733.0,7.938322771,6091.31321187143
CPV,Cabo Verde,Sub-Saharan Africa,58657.0,12538.0,71195.0,48.1652774,34291.26924493
CRI,Costa Rica,Latin America & Caribbean,460252.0,217841.0,678093.0,66.02871285,447736.07982595055
CUB,Cuba,Latin America & Caribbean,825055.0,261413.0,1086468.0,38.76586728,421178.7429196704
CYM,Cayman Islands,Latin America & Caribbean,3387.0,912.0,4299.0,79.0,3396.21
CYP,Cyprus,Europe & Central Asia,57161.0,37166.0,94327.0,75.90036019,71594.53275642131
CZE,Czech Republic,Europe & Central Asia,770437.0,395529.0,1165966.0,76.48120138,891744.8044823308
DEU,Germany,Europe & Central Asia,7112949.5,2977781.0,10090730.5,89.64710059,9046047.32160081
DJI,Djibouti,Middle East & North Africa,61284.0,4705.0,65989.0,13.13491511,8667.5991319379
DMA,Dominica,Latin America & Caribbean,5561.0,484.0,6045.0,67.03,4051.9635000000003
DNK,Denmark,Europe & Central Asia,553263.0,313756.0,867019.0,96.96778525,840729.1219966975
DOM,Dominican Republic,Latin America & Caribbean,929493.0,480103.0,1409596.0,61.32819041,864479.7188917436
DZA,Algeria,Middle East & North Africa,4572513.0,1289474.0,5861987.0,42.94552688,2517461.202787106
ECU,Ecuador,Latin America & Caribbean,1932353.0,586105.0,2518458.0,54.06292473,1361552.0528966633
EGY,"Egypt, Arab Rep.",Middle East & North Africa,8208329.0,2868912.0,11077241.0,39.21381268,4343808.535852158
ERI,Eritrea,Sub-Saharan Africa,245806.0,12554.0,258360.0,1.17711872,3041.203924992
ESP,Spain,Europe & Central Asia,3313127.0,1963924.0,5277051.0,80.56133294,4251262.6255236
EST,Estonia,Europe & Central Asia,77910.0,55214.0,133124.0,87.23733209,116133.82597149159
ETH,Ethiopia,Sub-Saharan Africa,5028678.0,757175.0,5785853.0,15.36692386,889107.6251615258
FIN,Finland,Europe & Central Asia,540067.0,302478.0,842545.0,87.70364996,738942.717555482
FJI,Fiji,East Asia & Pacific,97254.0,12717.0,109971.0,46.50697831,51144.1891172901
FRA,France,Europe & Central Asia,5947212.0,2388880.0,8336092.0,85.62219995,7137545.360255953
FRO,Faeroe Islands,Europe & Central Asia,2776.0,,2776.0,95.10868167,2640.2170031592
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,13634.0,1539.0,15173.0,33.35216255,5060.5236237115005
GAB,Gabon,Sub-Saharan Africa,105191.0,10076.0,115267.0,48.05227375,55388.4143834125
GBR,United Kingdom,Europe & Central Asia,6556991.5,2352932.75,8909924.25,94.77580063,8444452.043464024
GEO,Georgia,Europe & Central Asia,277874.0,127633.0,405507.0,50.00163739,202760.13973106732
GHA,Ghana,Sub-Saharan Africa,2511865.0,417534.0,2929399.0,34.66600065,1015505.4763810936
GIN,Guinea,Sub-Saharan Africa,715702.0,117943.0,833645.0,9.8,81697.21
GMB,"Gambia, The",Sub-Saharan Africa,124397.0,5001.0,129398.0,18.5,23938.63
GNB,Guinea-Bissau,Sub-Saharan Africa,55176.0,3689.0,58865.0,3.7614138319999997,2214.1562522067998
GNQ,Equatorial Guinea,Sub-Saharan Africa,25544.0,1003.0,26547.0,23.77999997,6312.8765920359
GRC,Greece,Europe & Central Asia,667718.0,677429.0,1345147.0,69.08791547,929334.0223072409
GRD,Grenada,Latin America & Caribbean,9309.0,9236.0,18545.0,55.85640782,10358.570830219
GTM,Guatemala,Latin America & Caribbean,1220652.0,366674.0,1587326.0,34.50932609,547775.5054513534
GUM,Guam,East Asia & Pacific,16017.0,7300.0,23317.0,77.00999989,17956.421674351302
GUY,Guyana,Latin America & Caribbean,85934.0,8857.0,94791.0,35.66,33802.47059999999
HKG,"Hong Kong SAR, China",East Asia & Pacific,393952.0,298642.6875,692594.6875,87.30034325,604637.5395187648
