Country Code,Indicator Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ABW,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446.0,1578.0,1628.0,1592.0,1672.0,1704.0,2106.0,2094.0,2232.0,2242.0,2196.0,2330.0,2504.0,2621.0,1181.0,1235.0,1166.0,
AFG,"Enrolment in tertiary education, all programmes, both sexes (number)",7732.0,9409.0,9817.0,11487.0,10956.0,12256.0,14214.0,16147.0,21118.0,22974.0,,,19652.0,,,,22306.0,17509.0,,,24333.0,,,,,,,,,,,,,26211.0,27648.0,,,,,95185.0,,97504.0,,,262874.0,,
AGO,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,5872.0,5845.0,6281.0,6534.0,6331.0,,,,,,8337.0,7845.0,,,12566.0,48184.0,37547.0,48184.0,48694.0,,,,,142798.0,,218679.0,,221037.0,
ALB,"Enrolment in tertiary education, all programmes, both sexes (number)",,25469.0,28668.0,,,,,,14695.0,,,14568.0,,17500.0,19670.0,21285.0,21995.0,22403.0,23784.0,25201.0,25964.0,27461.0,28001.0,32684.0,30185.0,28331.0,30086.0,34257.0,35902.0,38502.0,40125.0,40859.0,42160.0,43600.0,53014.0,63257.0,74747.0,86863.0,90606.0,93139.0,122326.0,134877.0,160839.0,173029.0,173819.0,160527.0,
AND,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,306.0,331.0,342.0,401.0,,459.0,,,,491.0,538.0,498.0,501.0,
ARB,"Enrolment in tertiary education, all programmes, both sexes (number)",706416.125,733981.25,794759.0,871347.3125,957383.125,1066646.75,1197475.875,1333201.625,1440257.75,1487790.5,1588082.25,1729881.25,1847537.875,1933624.875,2040195.0,2094487.875,2210149.5,2278929.0,2346838.25,2337249.75,2406849.75,2391953.25,2568057.0,2817956.5,3019343.25,3294607.75,3628683.25,4001958.5,4365277.5,4875952.5,5089853.5,5400639.0,5798696.5,5955514.0,6465715.0,6899156.0,7214648.0,7588664.0,8006891.5,8382284.5,8715273.0,8594488.0,9147083.0,9688632.0,9966484.0,,
ARE,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,519.0,1015.0,1582.0,2861.0,3407.0,4408.0,5780.0,6856.0,7772.0,8192.0,8478.0,7655.0,8491.0,10196.0,10405.0,10641.0,,,,,,,,,,,,,,80296.0,83985.0,92668.0,101906.0,113648.0,121626.0,132709.0,143060.0,156613.0,
ARG,"Enrolment in tertiary education, all programmes, both sexes (number)",274634.0,321782.0,351287.0,423824.0,497727.0,596736.0,601395.0,536450.0,477725.0,498928.0,491473.0,527596.0,550556.0,580626.0,677535.0,846145.0,902882.0,958542.0,,,,1008231.0,,,1069617.0,,,,1526515.0,1600882.0,1766933.0,1918708.0,2026735.0,2101437.0,2116876.0,2082577.0,2202032.0,2208291.0,2287874.0,2387049.0,2520985.0,2660514.0,2726557.0,2768211.0,2869450.0,,
ARM,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,55871.0,,55700.0,58959.0,65300.0,69470.0,67019.0,58729.0,47203.0,45983.0,40326.0,54818.0,82776.0,89261.0,92914.0,90417.0,99761.0,104891.0,108750.0,115475.0,127499.0,135725.0,141407.0,146224.0,146125.0,141455.0,121265.0,115207.0,113090.0,107665.0,
ASM,"Enrolment in tertiary education, all programmes, both sexes (number)",,0.0,632.0,848.0,909.0,833.0,689.0,836.0,1114.0,860.0,856.0,976.0,987.0,1007.0,967.0,871.0,758.0,900.0,897.0,909.0,,,,,,,,,,,,,,,,,,1607.0,,,,,,,,,
ATG,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.0,1170.0,1068.0,1792.0,,,,
AUS,"Enrolment in tertiary education, all programmes, both sexes (number)",179664.0,193532.0,208149.0,223855.0,252972.0,274738.0,289701.0,300030.0,309783.0,317496.0,323716.0,334030.0,337953.0,349243.0,358498.0,370048.0,390706.0,393734.0,420845.0,441076.0,485075.0,534530.0,559365.0,922699.0,932969.0,964998.0,1002476.0,1041648.0,869172.0,845636.0,845132.0,868689.0,1012210.0,1005977.0,1002998.0,1024589.0,1040153.0,1083715.0,1117804.0,1199845.0,1276488.0,1324257.0,1364203.0,1390478.0,1453521.0,,
AUT,"Enrolment in tertiary education, all programmes, both sexes (number)",,59778.0,66401.0,73467.0,78787.0,84101.0,96736.0,104525.0,110948.0,118672.0,127746.0,136774.0,140720.0,146351.0,154126.0,165313.0,173215.0,179909.0,188192.0,192700.0,199845.0,205767.0,216529.0,221389.0,227444.0,233989.0,238981.0,240632.0,247498.0,252893.0,261229.0,264669.0,223735.0,229802.0,238522.0,244410.0,253139.0,260975.0,284791.0,308150.0,350187.0,361797.0,376498.0,422778.21875,421224.8125,425971.6875,
AZE,"Enrolment in tertiary education, all programmes, both sexes (number)",,,,,,,,,,,,186024.0,,,,,182145.0,,177600.0,166400.0,160900.0,163901.0,168054.0,147909.0,128242.0,120870.0,118105.0,115116.0,,,,,,,,,181293.0,181937.0,180298.0,180276.0,180727.0,181057.0,184834.0,187590.0,195401.0,204152.0,
BDI,"Enrolment in tertiary education, all programmes, both sexes (number)",,466.0,490.0,482.0,744.0,802.0,1002.0,,,1716.0,1784.0,1879.0,2068.0,,2411.0,2521.0,2783.0,2731.0,3266.0,3308.0,3172.0,3592.0,3830.0,4256.0,,,,,4415.0,5037.0,6132.0,6289.0,10546.0,,15706.0,16915.0,17953.0,19296.0,21856.0,24290.0,29269.0,28595.0,36766.0,44887.0,51225.0,,
